RateID,CountryID,CompanyID,CodeDeckId,Code,Description,updated_at,created_at,UpdatedBy,CreatedBy,Interval1,IntervalN
30,4,1,CustomerCodedeck,168473,American Samoa-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
31,5,1,CustomerCodedeck,376,Andorra-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
32,5,1,CustomerCodedeck,3763,Andorra-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
33,5,1,CustomerCodedeck,3764,Andorra-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
34,5,1,CustomerCodedeck,3765,Andorra-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
35,5,1,CustomerCodedeck,3766,Andorra-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
36,6,1,CustomerCodedeck,244,Angola-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
37,6,1,CustomerCodedeck,2449,Angola Cellular,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
38,6,1,CustomerCodedeck,24492,Angola-Mobile-Unitel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
39,6,1,CustomerCodedeck,24493,Angola-Mobile-Unitel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
40,7,1,CustomerCodedeck,1264,Anguilla-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
41,7,1,CustomerCodedeck,1264235,Anguilla-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
42,7,1,CustomerCodedeck,1264469,Anguilla-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
43,7,1,CustomerCodedeck,1264476,Anguilla-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
44,7,1,CustomerCodedeck,1264536,Anguilla-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
45,7,1,CustomerCodedeck,1264537,Anguilla-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
46,7,1,CustomerCodedeck,1264538,Anguilla-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
47,7,1,CustomerCodedeck,1264539,Anguilla-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
48,7,1,CustomerCodedeck,1264543,Anguilla-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
49,7,1,CustomerCodedeck,126458,Anguilla Cellular,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
50,7,1,CustomerCodedeck,1264729,Anguilla-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
51,7,1,CustomerCodedeck,1264772,Anguilla-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
52,7,1,CustomerCodedeck,1264581,Anguilla-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
53,7,1,CustomerCodedeck,1264582,Anguilla-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
54,7,1,CustomerCodedeck,1264583,Anguilla-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
55,7,1,CustomerCodedeck,1264584,Anguilla-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
56,8,1,CustomerCodedeck,672,Antarctica-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
57,8,1,CustomerCodedeck,6723,Antarctica-Fixed-Norfolk Island,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
58,9,1,CustomerCodedeck,1268,Antigua & Barbuda-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
59,9,1,CustomerCodedeck,1268464,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
60,9,1,CustomerCodedeck,1268716,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
61,9,1,CustomerCodedeck,1268717,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
62,9,1,CustomerCodedeck,1268718,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
63,9,1,CustomerCodedeck,1268719,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
64,9,1,CustomerCodedeck,126872,ANTIGUA AND BARBUDA MOBILE,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
65,9,1,CustomerCodedeck,1268764,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
66,9,1,CustomerCodedeck,1268770,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
67,9,1,CustomerCodedeck,1268771,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
68,9,1,CustomerCodedeck,1268772,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
69,9,1,CustomerCodedeck,1268773,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
70,9,1,CustomerCodedeck,1268774,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
71,9,1,CustomerCodedeck,1268775,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
72,9,1,CustomerCodedeck,1268779,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
73,9,1,CustomerCodedeck,1268780,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
74,9,1,CustomerCodedeck,1268781,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
75,9,1,CustomerCodedeck,1268782,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
76,9,1,CustomerCodedeck,1268783,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
77,9,1,CustomerCodedeck,1268784,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
78,9,1,CustomerCodedeck,1268785,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
79,9,1,CustomerCodedeck,1268786,Antigua & Barbuda-Mobile-CW,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
80,9,1,CustomerCodedeck,1268788,Antigua & Barbuda-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
81,10,1,CustomerCodedeck,54,Argentina-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
82,10,1,CustomerCodedeck,549,Argentina-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
83,10,1,CustomerCodedeck,54911,Argentina Cellular-Buenos Aires,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
84,10,1,CustomerCodedeck,54291,Argentina-Fixed-Bahia Blanca,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
85,10,1,CustomerCodedeck,5411,Argentina-Fixed-Buenos Aires,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
86,10,1,CustomerCodedeck,543489,Argentina-Campana,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
87,10,1,CustomerCodedeck,542293,ARGENTINA FIXED MIRAMAR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
88,10,1,CustomerCodedeck,542302,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
89,10,1,CustomerCodedeck,542362,ARGENTINA FIXED JUNIN,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
90,10,1,CustomerCodedeck,54237,ARGENTINA FIXED CORRIDOR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
91,10,1,CustomerCodedeck,54332,ARGENTINA FIXED CORRIDOR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
92,10,1,CustomerCodedeck,54343,ARGENTINA FIXED PARANA,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
93,10,1,CustomerCodedeck,543461,ARGENTINA FIXED SANNICOLAS,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
94,10,1,CustomerCodedeck,543462,ARGENTINA FIXED CORRIDOR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
95,10,1,CustomerCodedeck,543464,ARGENTINA FIXED CORRIDOR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
96,10,1,CustomerCodedeck,543476,ARGENTINA FIXED SANLORENZO,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
97,10,1,CustomerCodedeck,543541,ARGENTINA FIXED VILLACARLOSPAZ,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
98,10,1,CustomerCodedeck,543543,ARGENTINA FIXED ARGUELLO,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
99,10,1,CustomerCodedeck,543571,ARGENTINA FIXED RIO TERCERO,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
100,10,1,CustomerCodedeck,54372,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
101,10,1,CustomerCodedeck,543783,ARGENTINA FIXED CORRIENTES,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
102,10,1,CustomerCodedeck,54379,ARGENTINA FIXED CORRIDOR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
103,10,1,CustomerCodedeck,54387400,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
104,10,1,CustomerCodedeck,54387401,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
105,10,1,CustomerCodedeck,5438742,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
106,10,1,CustomerCodedeck,54387431,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
107,10,1,CustomerCodedeck,54387432,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
108,10,1,CustomerCodedeck,54387434,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
109,10,1,CustomerCodedeck,54387435,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
110,10,1,CustomerCodedeck,54387436,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
111,10,1,CustomerCodedeck,54387437,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
112,10,1,CustomerCodedeck,543874384,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
113,10,1,CustomerCodedeck,543874385,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
114,10,1,CustomerCodedeck,543874386,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
115,10,1,CustomerCodedeck,543874387,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
116,10,1,CustomerCodedeck,543874388,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
117,10,1,CustomerCodedeck,54387439,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
118,10,1,CustomerCodedeck,54387495,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
119,10,1,CustomerCodedeck,54387497,Argentina-Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
120,10,1,CustomerCodedeck,54351,Argentina-Fixed-Cordoba,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
121,10,1,CustomerCodedeck,54358,Argentina-Fixed-Rio Cuarto,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
122,10,1,CustomerCodedeck,54230,Argentina-Fixed-La Pampa,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
123,10,1,CustomerCodedeck,54221,Argentina-Fixed-La Plata,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
124,10,1,CustomerCodedeck,542323,Argentina-Lujan,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
125,10,1,CustomerCodedeck,54223,Argentina-Fixed-Mar del Plata,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
126,10,1,CustomerCodedeck,54261,Argentina-Fixed-Mendoza,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
127,10,1,CustomerCodedeck,54299,Argentina-Fixed-Neuquen,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
128,10,1,CustomerCodedeck,54232,Argentina-Fixed-Pilar,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
129,10,1,CustomerCodedeck,54362,ARGENTINA FIXED CORRIDOR,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
130,10,1,CustomerCodedeck,543722,Argentina-Resistencia,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
131,10,1,CustomerCodedeck,54341,Argentina-Fixed-Rosario,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
132,10,1,CustomerCodedeck,54387,Argentina-Fixed-Salta,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
133,10,1,CustomerCodedeck,542652,Argentina-San Luis,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
134,10,1,CustomerCodedeck,542664,Argentina-San Luis,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
135,10,1,CustomerCodedeck,54342,Argentina-Fixed-Santa Fe,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
136,10,1,CustomerCodedeck,54381,Argentina-Fixed-Tucuman,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
137,10,1,CustomerCodedeck,54348,Argentina-Fixed-Campana,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
138,11,1,CustomerCodedeck,374,Armenia-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
139,11,1,CustomerCodedeck,3745,Armenia Cellular,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
140,11,1,CustomerCodedeck,3747,Armenia Cellular,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
141,11,1,CustomerCodedeck,3749,ARMENIA MOBILE,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
142,11,1,CustomerCodedeck,37491,Armenia-Mobile-Armentel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
143,11,1,CustomerCodedeck,37496,Armenia-Mobile-Armentel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
144,11,1,CustomerCodedeck,37499,Armenia-Mobile-Armentel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
145,11,1,CustomerCodedeck,37497,Armenia-Mobile-Nagorny Karabakh,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
146,11,1,CustomerCodedeck,37455,Armenia-Mobile-Orange,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
147,11,1,CustomerCodedeck,37495,Armenia-Mobile-Orange,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
148,11,1,CustomerCodedeck,37477,Armenia-Mobile-VivaCell,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
149,11,1,CustomerCodedeck,37493,Armenia-Mobile-VivaCell,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
150,11,1,CustomerCodedeck,37494,Armenia-Mobile-VivaCell,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
151,11,1,CustomerCodedeck,37498,Armenia-Mobile-VivaCell,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
152,11,1,CustomerCodedeck,37447,Armenia-Fixed-Karabakh,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
153,11,1,CustomerCodedeck,37410,Armenia-Fixed-Yerevan,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
154,12,1,CustomerCodedeck,297,Aruba-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
155,12,1,CustomerCodedeck,29756,Aruba-Mobile-Setar,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
156,12,1,CustomerCodedeck,29759,Aruba-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
157,12,1,CustomerCodedeck,297600,Aruba-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
158,12,1,CustomerCodedeck,297622,Aruba-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
159,12,1,CustomerCodedeck,29766,Aruba-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
160,12,1,CustomerCodedeck,29769,Aruba-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
161,12,1,CustomerCodedeck,2979,Aruba Cellular,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
162,12,1,CustomerCodedeck,297630,Aruba-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
163,12,1,CustomerCodedeck,297640,Aruba-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
164,12,1,CustomerCodedeck,297641,Aruba-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
165,12,1,CustomerCodedeck,29773,Aruba-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
166,12,1,CustomerCodedeck,29774,Aruba-Mobile-Digicel,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
167,13,1,CustomerCodedeck,247,Ascension Island-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
168,14,1,CustomerCodedeck,61,Australia-Fixed-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
169,14,1,CustomerCodedeck,61891,Australia - Christmas Islands,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
170,14,1,CustomerCodedeck,614,Australia-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
171,14,1,CustomerCodedeck,61401,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
172,14,1,CustomerCodedeck,61402,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
173,14,1,CustomerCodedeck,61403,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
174,14,1,CustomerCodedeck,61411,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
175,14,1,CustomerCodedeck,61412,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
176,14,1,CustomerCodedeck,61413,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
177,14,1,CustomerCodedeck,61421,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
178,14,1,CustomerCodedeck,61422,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
179,14,1,CustomerCodedeck,61423,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
180,14,1,CustomerCodedeck,61431,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
181,14,1,CustomerCodedeck,61432,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
182,14,1,CustomerCodedeck,61434,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
183,14,1,CustomerCodedeck,61435,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
184,14,1,CustomerCodedeck,61466,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
185,14,1,CustomerCodedeck,614685,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
186,14,1,CustomerCodedeck,614686,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
187,14,1,CustomerCodedeck,614687,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
188,14,1,CustomerCodedeck,614688,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
189,14,1,CustomerCodedeck,614689,Australia-Mobile-Optus,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
190,14,1,CustomerCodedeck,611,Australia-Mobile-Others,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
191,14,1,CustomerCodedeck,6114331,Australia- Satellite Premium 1,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
192,14,1,CustomerCodedeck,6187,Australia-Adelaide,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
193,14,1,CustomerCodedeck,61881,Australia-Fixed-Metro Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
194,14,1,CustomerCodedeck,61882,Australia-Fixed-Metro Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
195,14,1,CustomerCodedeck,61883,Australia-Fixed-Metro Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
196,14,1,CustomerCodedeck,61884,Australia-Fixed-Metro Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
197,14,1,CustomerCodedeck,6173,Australia-Fixed-Metro Cities,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
198,14,1,CustomerCodedeck,61261,Australia-Fixed-Canberra,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
199,14,1,CustomerCodedeck,61262,Australia-Fixed-Canberra,NULL,"'convert(varchar,GETDATE(),120)'",NULL,NULL,1,1
