UsageDetailID,CompanyID,CompanyGatewayID,GatewayAccountID,AccountID,connect_time,disconnect_time,billed_duration,trunk,area_prefix,cli,cld,cost,ProcessID,ID,remote_ip
3989316,1,SIPPY1,163,buraq-tel,6/19/2015 15:24,6/19/2015 15:28,221,GOLD,35568,44006682028,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185065887,NULL
3989318,1,SIPPY1,163,buraq-tel,6/19/2015 15:10,6/19/2015 15:11,34,GOLD,35567,44005474390,4.41E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185062329,NULL
3989322,1,SIPPY1,163,buraq-tel,6/19/2015 14:57,6/19/2015 15:00,186,GOLD,35566,44005474390,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185060054,NULL
3989325,1,SIPPY1,163,buraq-tel,6/19/2015 14:55,6/19/2015 15:04,567,GOLD,35569,44006072476,4.41E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185061035,NULL
3989839,1,SIPPY1,163,buraq-tel,6/19/2015 15:07,6/19/2015 15:12,311,GOLD,355423,2085905555,4.41E+11,0.06,2b0293e0-1693-11e5-bd11-4d114d9ef01e,185062616,NULL
3990079,1,SIPPY1,163,buraq-tel,6/19/2015 15:07,6/19/2015 15:08,47,GOLD,213,2085994822,4.48E+11,0,2b48f240-1693-11e5-ae3b-17890b28f62e,185061697,NULL
3990083,1,SIPPY1,163,buraq-tel,6/19/2015 15:06,6/19/2015 15:06,26,GOLD,9251,2085994822,4.48E+11,0,2b48f240-1693-11e5-ae3b-17890b28f62e,185061440,NULL
3990836,1,SIPPY1,163,buraq-tel,6/19/2015 15:37,6/19/2015 15:38,31,GOLD,9242,2035000599,44800289080,0,2bb87140-1693-11e5-8e06-058d5dd78db2,185067765,NULL
3988397,1,SIPPY2,164,fortress,6/19/2015 15:34,6/19/2015 15:41,412,GOLD,3763,2086871700,4.42E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185068363,NULL
3988400,1,SIPPY2,164,fortress,6/19/2015 14:56,6/19/2015 14:57,79,GOLD,3765,2086871700,4.48E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185059405,NULL
3988404,1,SIPPY2,164,fortress,6/19/2015 14:55,6/19/2015 14:55,9,GOLD,3766,2086871700,4.42E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185058946,NULL
3988407,1,SIPPY2,164,fortress,6/19/2015 14:51,6/19/2015 14:52,89,GOLD,244,2086871700,4.42E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185058332,NULL
3989294,1,SIPPY2,164,fortress,6/19/2015 15:42,6/19/2015 15:48,362,GOLD,2449,44005474390,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185069914,NULL
3989298,1,SIPPY2,164,fortress,6/19/2015 15:40,6/19/2015 15:41,27,GOLD,24492,44000682572,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068386,NULL
3989301,1,SIPPY2,164,fortress,6/19/2015 15:39,6/19/2015 15:40,26,GOLD,9251,44000682572,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068232,NULL
3989303,1,SIPPY2,164,fortress,6/19/2015 15:34,6/19/2015 15:39,304,GOLD,9242,44000682572,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068016,NULL
3989307,1,SIPPY2,164,fortress,6/19/2015 15:28,6/19/2015 15:39,686,GOLD,3763,44007337925,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068110,NULL
3989310,1,SIPPY2,165,grace-telecome,6/19/2015 15:25,6/19/2015 15:28,143,GOLD,24493,44007337925,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185065785,NULL
3989313,1,SIPPY2,165,grace-telecome,6/19/2015 15:25,6/19/2015 15:25,7,GOLD,1264,44007337925,4.48E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185065224,NULL
3989316,1,SIPPY2,165,grace-telecome,6/19/2015 15:24,6/19/2015 15:28,221,GOLD,1264235,44006682028,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185065887,NULL
3989318,1,SIPPY2,165,grace-telecome,6/19/2015 15:10,6/19/2015 15:11,34,GOLD,1264469,44005474390,4.41E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185062329,NULL
3989322,1,SIPPY2,165,grace-telecome,6/19/2015 14:57,6/19/2015 15:00,186,GOLD,1264476,44005474390,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185060054,NULL
3989325,1,SIPPY2,165,grace-telecome,6/19/2015 14:55,6/19/2015 15:04,567,GOLD,1264536,44006072476,4.41E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185061035,NULL
3989839,1,SIPPY2,165,grace-telecome,6/19/2015 15:07,6/19/2015 15:12,311,GOLD,1264537,2085905555,4.41E+11,0.06,2b0293e0-1693-11e5-bd11-4d114d9ef01e,185062616,NULL
3990079,1,SIPPY2,165,grace-telecome,6/19/2015 15:07,6/19/2015 15:08,47,GOLD,54,2085994822,4.48E+11,0,2b48f240-1693-11e5-ae3b-17890b28f62e,185061697,NULL
3990083,1,SIPPY2,165,grace-telecome,6/19/2015 15:06,6/19/2015 15:06,26,GOLD,549,2085994822,4.48E+11,0,2b48f240-1693-11e5-ae3b-17890b28f62e,185061440,NULL
3990836,1,SIPPY2,165,grace-telecome,6/19/2015 15:37,6/19/2015 15:38,31,GOLD,54911,2035000599,44800289080,0,2bb87140-1693-11e5-8e06-058d5dd78db2,185067765,NULL
